Optimizer,1st,2nd,3rd,4th,5th,Average,StdDev,Variance
Vanilla,0.03027478454262018,0.030375586950033902,0.030855401058122515,0.031216750613972544,0.03186942226588726,0.03091838908612728,0.0005841767145898544,3.412624338689961e-07
AdaGrad,0.005394680065766442,0.005431720391788986,0.005469976361584849,0.0054829820157261564,0.005506367013440467,0.0054571451696613805,3.9505140273717963e-05,1.5606561080461331e-09
AdaDelta,0.03244275574199856,0.03275077076330781,0.03314330570884049,0.033425225852802394,0.033745586781948805,0.03310152896977961,0.0004644026094822849,2.1566978369395562e-07
AG-SGD (Paper Proposed),0.0898651027917862,0.0898651027917862,0.0898651027917862,0.0898651027917862,0.0898651027917862,0.0898651027917862,0.0,0.0
Non-Linear AG-SGD,0.09011693453192711,0.09011693453192711,0.09011693453192711,0.09011693453192711,0.09011693453192711,0.09011693453192711,0.0,0.0
